chr	start	end	size	dataset
chr7	56723152	56723449	297	dbVar
chr7	56723231	56723449	218	dbVar
chr7	56723259	56723441	182	dbVar
chr7	57061190	63468941	6407751	dbVar
chr7	57062441	63468768	6406327	dbVar
chr7	57078529	63531398	6452869	dbVar
chr7	57090757	63520809	6430052	dbVar
chr7	57609634	57822929	213295	dbVar
chr7	57637975	57825097	187122	dbVar
chr7	57638707	57826723	188016	dbVar
chr7	57638806	57861400	222594	dbVar
chr7	57889687	57987862	98175	dbVar
chr7	61006478	62423098	1416620	dbVar
chr7	62204072	62229506	25434	dbVar
chr7	62260536	62294432	33896	dbVar
chr7	62353703	62358864	5161	dbVar
chr7	62506780	62898037	391257	dbVar
chr7	63219265	63527571	308306	dbVar
chr7	63223598	63369184	145586	dbVar
chr7	63266052	63451436	185384	dbVar
chr7	63654863	102043324	38388461	dbVar
chr7	63982027	64331933	349906	dbVar
chr7	65118448	65614667	496219	dbVar
chr7	65149138	65584378	435240	dbVar
chr7	65227544	65227633	89	dbVar
chr7	65228990	65229047	57	dbVar
chr7	65530747	65683673	152926	dbVar
chr7	65533191	65704935	171744	dbVar
chr7	65550126	65612289	62163	dbVar
chr7	65550454	65617955	67501	dbVar
chr7	65555794	65647037	91243	dbVar
chr7	66302451	66302848	397	dbVar
chr7	66432546	66793680	361134	dbVar
chr7	66634357	67138669	504312	dbVar
chr7	67019451	67020337	886	dbVar
chr7	67048074	72779443	5731369	dbVar
chr7	67107500	72704836	5597336	dbVar
chr7	70916393	70973854	57461	dbVar
chr7	70916398	70973901	57503	dbVar
chr7	70955813	70973966	18153	dbVar
chr7	70955925	70973856	17931	dbVar
chr7	70955981	70973901	17920	dbVar
chr7	70955982	70973901	17919	dbVar
chr7	70957034	70973893	16859	dbVar
chr7	70959990	70974206	14216	dbVar
chr7	70961287	70973886	12599	dbVar
chr7	70962870	71011332	48462	dbVar
chr7	70966899	71006561	39662	dbVar
chr7	70967217	71007493	40276	dbVar
chr7	71426814	71427101	287	dbVar
chr7	71701815	71701897	82	dbVar
chr7	72094367	72098577	4210	dbVar
chr7	72909603	75422623	2513020	dbVar
chr7	72913088	75426991	2513903	dbVar
chr7	72938048	75437612	2499564	dbVar
chr7	74880064	75101012	220948	dbVar
chr7	75324643	77000207	1675564	dbVar
chr7	75352610	77015077	1662467	dbVar
chr7	75682230	75684191	1961	dbVar
chr7	76318606	76339321	20715	dbVar
chr7	76401319	76609059	207740	dbVar
chr7	76434026	76659954	225928	dbVar
chr7	76448212	76603855	155643	dbVar
chr7	76480724	76609079	128355	dbVar
chr7	77125248	102746151	25620903	dbVar
chr7	81624197	81624268	71	dbVar
chr7	82789573	82789939	366	dbVar
chr7	85460313	85462087	1774	dbVar
chr7	86197402	86205478	8076	dbVar
chr7	87720741	87721085	344	dbVar
chr7	88461747	88462897	1150	dbVar
chr7	89208372	89208759	387	dbVar
chr7	90438612	90440763	2151	dbVar
chr7	92275589	92701725	426136	dbVar
chr7	92901556	92901643	87	dbVar
chr7	93142635	93150414	7779	dbVar
chr7	93906954	93907021	67	dbVar
chr7	93906956	93907020	64	dbVar
chr7	98424087	98432353	8266	dbVar
chr7	99085291	109445591	10360300	dbVar
chr7	99934806	104834476	4899670	dbVar
chr7	100950153	100973125	22972	dbVar
chr7	100971948	100976727	4779	dbVar
chr7	101996234	101997496	1262	dbVar
chr7	102081264	102084420	3156	dbVar
chr7	102084270	102084418	148	dbVar
chr7	104833554	104833895	341	dbVar
chr7	106136054	106136461	407	dbVar
chr7	107378290	107422455	44165	dbVar
chr7	107415679	107415754	75	dbVar
chr7	107418107	107422657	4550	dbVar
chr7	107418324	107422327	4003	dbVar
chr7	107418641	107422586	3945	dbVar
chr7	107418662	107423211	4549	dbVar
chr7	107418955	107423381	4426	dbVar
chr7	107419645	107463822	44177	dbVar
chr7	107420496	107423270	2774	dbVar
chr7	109447830	109447892	62	dbVar
chr7	112402269	112408790	6521	dbVar
chr7	112545275	112549641	4366	dbVar
chr7	112720560	121600635	8880075	dbVar
chr7	113134264	113136326	2062	dbVar
chr7	113486521	113486664	143	dbVar
chr7	113957262	113957356	94	dbVar
chr7	114135519	115423333	1287814	dbVar
chr7	115912733	115939318	26585	dbVar
chr7	115978252	115978590	338	dbVar
chr7	116007082	116022227	15145	dbVar
chr7	116691376	116698643	7267	dbVar
chr7	117371094	117373367	2273	dbVar
chr7	117864656	117864726	70	dbVar
chr7	118479637	118483665	4028	dbVar
chr7	118584269	118587388	3119	dbVar
chr7	119242819	119245259	2440	dbVar
chr7	119242823	119243381	558	dbVar
chr7	119946141	119954512	8371	dbVar
chr7	121522360	121522523	163	dbVar
chr7	121522363	121522526	163	dbVar
chr7	121529497	121529796	299	dbVar
chr7	122063900	122066944	3044	dbVar
chr7	122083777	127325768	5241991	dbVar
chr7	122691886	122692824	938	dbVar
chr7	124426022	124426112	90	dbVar
chr7	125643919	131139787	5495868	dbVar
chr7	126766186	132989827	6223641	dbVar
chr7	126794500	126795487	987	dbVar
chr7	127508695	134605616	7096921	dbVar
chr7	127789356	127789880	524	dbVar
chr7	128288344	128299908	11564	dbVar
chr7	128423497	128426314	2817	dbVar
chr7	129178998	129181132	2134	dbVar
chr7	129221092	129221548	456	dbVar
chr7	129221122	129221548	426	dbVar
chr7	130888929	130942440	53511	dbVar
chr7	130914129	130926487	12358	dbVar
chr7	133628063	133628815	752	dbVar
chr7	134821584	134836172	14588	dbVar
chr7	134821594	134836159	14565	dbVar
chr7	134821851	134836155	14304	dbVar
chr7	135252412	135253005	593	dbVar
chr7	135780276	135781299	1023	dbVar
chr7	135823896	135837746	13850	dbVar
chr7	135935412	155362056	19426644	dbVar
chr7	137187146	137210316	23170	dbVar
chr7	139357931	139357990	59	dbVar
chr7	139633987	139634660	673	dbVar
chr7	140278433	140279314	881	dbVar
chr7	140283185	140283800	615	dbVar
chr7	141495588	147510459	6014871	dbVar
chr7	141522374	157442007	15919633	dbVar
chr7	141639105	141641452	2347	dbVar
chr7	142010746	142012542	1796	dbVar
chr7	142045150	142045244	94	dbVar
chr7	143533672	143815563	281891	dbVar
chr7	143586832	144113946	527114	dbVar
chr7	143609684	144213746	604062	dbVar
chr7	143707042	143868142	161100	dbVar
chr7	143707544	143868599	161055	dbVar
chr7	143718702	143858069	139367	dbVar
chr7	143726899	143846255	119356	dbVar
chr7	143727108	143849068	121960	dbVar
chr7	143727783	143845977	118194	dbVar
chr7	143729900	143844360	114460	dbVar
chr7	143731946	143849140	117194	dbVar
chr7	144127943	144272136	144193	dbVar
chr7	144150129	144363841	213712	dbVar
chr7	144160778	144358266	197488	dbVar
chr7	144175680	144332027	156347	dbVar
chr7	144176648	144332699	156051	dbVar
chr7	144178983	144332027	153044	dbVar
chr7	144187787	144365907	178120	dbVar
chr7	144210990	144379150	168160	dbVar
chr7	144226073	144289770	63697	dbVar
chr7	144229637	144363508	133871	dbVar
chr7	144234571	144274193	39622	dbVar
chr7	144234699	144359094	124395	dbVar
chr7	144235644	144276648	41004	dbVar
chr7	144243848	144371397	127549	dbVar
chr7	144244942	144345155	100213	dbVar
chr7	144249939	144340998	91059	dbVar
chr7	144251514	144371140	119626	dbVar
chr7	144254512	144354426	99914	dbVar
chr7	144255391	144337235	81844	dbVar
chr7	144259018	144351845	92827	dbVar
chr7	144262616	144345228	82612	dbVar
chr7	144266152	144322016	55864	dbVar
chr7	144274646	144384545	109899	dbVar
chr7	144275781	144412427	136646	dbVar
chr7	144465997	144967022	501025	dbVar
chr7	145211540	145211736	196	dbVar
chr7	145450328	145472371	22043	dbVar
chr7	146171184	146172929	1745	dbVar
chr7	146180518	153899502	7718984	dbVar
chr7	146339797	157442573	11102776	dbVar
chr7	146379618	146382611	2993	dbVar
chr7	146440314	147541053	1100739	dbVar
chr7	146811072	146816896	5824	dbVar
chr7	147003934	147061883	57949	dbVar
chr7	147126492	147666633	540141	dbVar
chr7	147470236	147470305	69	dbVar
chr7	147510486	147518515	8029	dbVar
chr7	149903084	154133979	4230895	dbVar
chr7	149937183	154159803	4222620	dbVar
chr7	149945315	154151634	4206319	dbVar
chr7	149962989	154150884	4187895	dbVar
chr7	150003336	154093673	4090337	dbVar
chr7	150151029	153816300	3665271	dbVar
chr7	151312944	151315021	2077	dbVar
chr7	151313117	151313276	159	dbVar
chr7	152877678	153063024	185346	dbVar
chr7	154238588	155472052	1233464	dbVar
chr7	154747048	154758986	11938	dbVar
chr7	154777733	154783969	6236	dbVar
chr7	154825283	156702410	1877127	dbVar
chr7	155336212	155336409	197	dbVar
chr7	156594138	156594567	429	dbVar
chr7	156594292	156594557	265	dbVar
chr7	156594389	156601625	7236	dbVar
chr7	156594401	156594523	122	dbVar
chr7	158840078	158850221	10143	dbVar
chr7	159132851	159164059	31208	dbVar
chr8	977303	986131	8828	dbVar
chr8	989573	996325	6752	dbVar
chr8	1144676	1144752	76	dbVar
chr8	2238606	2496503	257897	dbVar
chr8	2244437	2375564	131127	dbVar
chr8	2343351	2378385	35034	dbVar
chr8	2400294	2498825	98531	dbVar
chr8	2475295	79558491	77083196	dbVar
chr8	2581679	2581764	85	dbVar
chr8	3042802	3042894	92	dbVar
chr8	3042803	3042894	91	dbVar
chr8	3970979	3973709	2730	dbVar
chr8	5884795	5885251	456	dbVar
chr8	6114140	6114359	219	dbVar
chr8	6297064	6299896	2832	dbVar
chr8	6297071	6300460	3389	dbVar
chr8	6297858	6300509	2651	dbVar
chr8	6878984	6879408	424	dbVar
chr8	6883076	8012549	1129473	dbVar
chr8	7068450	12013148	4944698	dbVar
chr8	7224554	8135496	910942	dbVar
chr8	7259701	12017694	4757993	dbVar
chr8	7297811	12421018	5123207	dbVar
chr8	7362138	12147937	4785799	dbVar
chr8	7533464	12559781	5026317	dbVar
chr8	7569083	12593476	5024393	dbVar
chr8	7579914	12598499	5018585	dbVar
chr8	7594146	12584199	4990053	dbVar
chr8	7603436	12578228	4974792	dbVar
chr8	7737998	8048199	310201	dbVar
chr8	7748831	12603995	4855164	dbVar
chr8	7764653	8028786	264133	dbVar
chr8	7764978	8030573	265595	dbVar
chr8	7788129	8018860	230731	dbVar
chr8	8039923	12587249	4547326	dbVar
chr8	8044016	12587150	4543134	dbVar
chr8	8044369	12583712	4539343	dbVar
chr8	8046049	12581179	4535130	dbVar
chr8	8048972	12579707	4530735	dbVar
chr8	8135899	12566999	4431100	dbVar
chr8	8135903	12571887	4435984	dbVar
chr8	8167006	12203639	4036633	dbVar
chr8	8167188	12198487	4031299	dbVar
chr8	8240523	12467359	4226836	dbVar
chr8	8243082	12458767	4215685	dbVar
chr8	8247339	12457025	4209686	dbVar
chr8	8256346	12448869	4192523	dbVar
chr8	11651571	11655305	3734	dbVar
chr8	13802076	13802139	63	dbVar
chr8	16103165	16103235	70	dbVar
chr8	16525216	16525754	538	dbVar
chr8	16552844	16578649	25805	dbVar
chr8	17857399	17857456	57	dbVar
chr8	18008905	18008957	52	dbVar
chr8	18367833	18377443	9610	dbVar
chr8	19179682	19180058	376	dbVar
chr8	20919220	20920915	1695	dbVar
chr8	21725314	21750115	24801	dbVar
chr8	23119141	23219484	100343	dbVar
chr8	24908929	26870043	1961114	dbVar
chr8	24909578	26990667	2081089	dbVar
chr8	24915245	27000696	2085451	dbVar
chr8	26054824	26054939	115	dbVar
chr8	26491819	26493154	1335	dbVar
chr8	26872665	26899139	26474	dbVar
chr8	27111760	27111832	72	dbVar
chr8	27172941	27173422	481	dbVar
chr8	28607059	28660372	53313	dbVar
chr8	31422104	31422306	202	dbVar
chr8	32702659	32704089	1430	dbVar
chr8	32935178	32935266	88	dbVar
chr8	32977526	32977732	206	dbVar
chr8	33777711	36482155	2704444	dbVar
chr8	34360126	34360219	93	dbVar
chr8	36221892	36222220	328	dbVar
chr8	37841227	37863840	22613	dbVar
chr8	41450695	41474959	24264	dbVar
chr8	42286140	97684943	55398803	dbVar
chr8	43237739	43241874	4135	dbVar
chr8	43237764	43242381	4617	dbVar
chr8	43237766	43241874	4108	dbVar
chr8	43237767	43241869	4102	dbVar
chr8	43237963	43242360	4397	dbVar
chr8	43238324	43241527	3203	dbVar
chr8	43238327	43241869	3542	dbVar
chr8	43238335	43240928	2593	dbVar
chr8	43238663	43241863	3200	dbVar
chr8	43238666	43240832	2166	dbVar
chr8	43238680	43241328	2648	dbVar
chr8	43238682	43241863	3181	dbVar
chr8	43238686	43241323	2637	dbVar
chr8	43238692	43241863	3171	dbVar
chr8	43430992	43431775	783	dbVar
chr8	43846267	43846358	91	dbVar
chr8	46912330	46912674	344	dbVar
chr8	47265443	47317246	51803	dbVar
chr8	47303989	47317337	13348	dbVar
chr8	47306914	47315922	9008	dbVar
chr8	47308331	47309787	1456	dbVar
chr8	47316970	47351576	34606	dbVar
chr8	47980393	47981119	726	dbVar
chr8	48378329	48379485	1156	dbVar
chr8	49302183	49306782	4599	dbVar
chr8	49888785	49888849	64	dbVar
chr8	50358651	75255653	24897002	dbVar
chr8	50891446	50891801	355	dbVar
chr8	51761189	51766032	4843	dbVar
chr8	53272526	53277690	5164	dbVar
chr8	53288473	53289276	803	dbVar
chr8	53475447	53476054	607	dbVar
chr8	57050813	57070010	19197	dbVar
chr8	59668889	59668943	54	dbVar
chr8	62191607	62191698	91	dbVar
chr8	62993200	62993593	393	dbVar
chr8	67473351	67473420	69	dbVar
chr8	67755785	70855717	3099932	dbVar
chr8	68745832	68762848	17016	dbVar
chr8	68773736	68774634	898	dbVar
chr8	69526374	98061472	28535098	dbVar
chr8	71769313	71769404	91	dbVar
chr8	72111382	72111865	483	dbVar
chr8	72111384	72111629	245	dbVar
chr8	72111385	72111629	244	dbVar
chr8	72111397	72111630	233	dbVar
chr8	72111497	72111760	263	dbVar
chr8	73124247	73146646	22399	dbVar
chr8	74175661	74183141	7480	dbVar
chr8	74175666	74183253	7587	dbVar
chr8	74180026	74184480	4454	dbVar
chr8	74185103	84448904	10263801	dbVar
chr8	74185104	77643492	3458388	dbVar
chr8	74185598	87795072	13609474	dbVar
chr8	74226497	74227107	610	dbVar
chr8	74452624	74492380	39756	dbVar
chr8	74493016	74493070	54	dbVar
chr8	74548550	74548609	59	dbVar
chr8	74949085	131777713	56828628	dbVar
chr8	75329119	80531891	5202772	dbVar
chr8	76933414	84448671	7515257	dbVar
chr8	76941152	76941793	641	dbVar
chr8	76963559	80124109	3160550	dbVar
chr8	77300273	77340953	40680	dbVar
chr8	77569554	77569994	440	dbVar
chr8	77639995	78230875	590880	dbVar
chr8	77643415	80206924	2563509	dbVar
chr8	78029547	86801605	8772058	dbVar
chr8	78229609	84553604	6323995	dbVar
chr8	78239484	80699030	2459546	dbVar
chr8	78239621	84509406	6269785	dbVar
chr8	78240339	84555875	6315536	dbVar
chr8	78906220	78906728	508	dbVar
chr8	79600057	79601675	1618	dbVar
chr8	79830891	80697930	867039	dbVar
chr8	80119096	80699030	579934	dbVar
chr8	80207664	84555851	4348187	dbVar
chr8	80209252	80698536	489284	dbVar
chr8	80697921	87444552	6746631	dbVar
chr8	80697927	80699602	1675	dbVar
chr8	81684542	81684599	57	dbVar
chr8	82654015	82660674	6659	dbVar
chr8	84953046	84962077	9031	dbVar
chr8	84953147	84961954	8807	dbVar
chr8	85262026	85262105	79	dbVar
chr8	85262068	85262137	69	dbVar
chr8	85646209	85756065	109856	dbVar
chr8	85647285	85824809	177524	dbVar
chr8	85648943	85657425	8482	dbVar
chr8	85648994	85824809	175815	dbVar
chr8	85649102	85808532	159430	dbVar
chr8	85649344	85824809	175465	dbVar
chr8	85651652	85824809	173157	dbVar
chr8	85651705	85824809	173104	dbVar
chr8	85651729	85824809	173080	dbVar
chr8	85651786	85824809	173023	dbVar
chr8	85651894	85817634	165740	dbVar
chr8	85654843	85790535	135692	dbVar
chr8	85754584	85824809	70225	dbVar
chr8	85754627	85824809	70182	dbVar
chr8	85754791	85824809	70018	dbVar
chr8	85754825	85824809	69984	dbVar
chr8	85755153	85824809	69656	dbVar
chr8	85755155	85824809	69654	dbVar
chr8	85755234	85824809	69575	dbVar
chr8	85755288	85824809	69521	dbVar
chr8	85755714	85824809	69095	dbVar
chr8	85755865	85824809	68944	dbVar
chr8	85764664	85824809	60145	dbVar
chr8	85772961	85824809	51848	dbVar
chr8	85773084	85805443	32359	dbVar
chr8	85773143	85805443	32300	dbVar
chr8	85784929	85787620	2691	dbVar
chr8	85787558	85788345	787	dbVar
chr8	85797883	85800859	2976	dbVar
chr8	85824810	85826358	1548	dbVar
chr8	86658124	86660388	2264	dbVar
chr8	86819439	86819536	97	dbVar
chr8	87039815	87658722	618907	dbVar
chr8	87795427	120088772	32293345	dbVar
chr8	88830445	88830556	111	dbVar
chr8	90438584	90438671	87	dbVar
chr8	97284404	97284764	360	dbVar
chr8	97792512	97792609	97	dbVar
chr8	99145385	99146088	703	dbVar
chr8	99258278	99258347	69	dbVar
chr8	101530922	101537030	6108	dbVar
chr8	101930039	101931236	1197	dbVar
chr8	102423251	102423772	521	dbVar
chr8	102423260	102423778	518	dbVar
chr8	102423273	102423778	505	dbVar
chr8	102423275	102423772	497	dbVar
chr8	102510954	102511048	94	dbVar
chr8	104960294	105038067	77773	dbVar
chr8	106021867	106022212	345	dbVar
chr8	106934877	106961747	26870	dbVar
chr8	107556821	107557135	314	dbVar
chr8	107557062	107557139	77	dbVar
chr8	107802202	107802537	335	dbVar
chr8	108192681	108196914	4233	dbVar
chr8	109085108	109086806	1698	dbVar
chr8	109427990	109436877	8887	dbVar
chr8	110438416	110439795	1379	dbVar
chr8	111062880	111063732	852	dbVar
chr8	111802372	111804688	2316	dbVar
chr8	112571798	112573127	1329	dbVar
chr8	112600436	112615481	15045	dbVar
chr8	112776180	112779719	3539	dbVar
chr8	113380300	113380390	90	dbVar
chr8	114250637	114253770	3133	dbVar
chr8	114504412	114585979	81567	dbVar
chr8	115408205	115408907	702	dbVar
chr8	116080595	116082953	2358	dbVar
chr8	117861489	117863138	1649	dbVar
chr8	117861499	117863100	1601	dbVar
chr8	117862992	117863097	105	dbVar
chr8	117996016	118000779	4763	dbVar
chr8	118281217	118281684	467	dbVar
chr8	120468633	120475017	6384	dbVar
chr8	120484565	128890671	8406106	dbVar
chr8	120920107	120920188	81	dbVar
chr8	121501669	121502639	970	dbVar
chr8	122199222	129924273	7725051	dbVar
chr8	123434119	123434241	122	dbVar
chr8	124481439	124485040	3601	dbVar
chr8	125694463	128721607	3027144	dbVar
chr8	125725391	128729109	3003718	dbVar
chr8	125740669	126193472	452803	dbVar
chr8	127339667	127339997	330	dbVar
chr8	127722719	130142389	2419670	dbVar
chr8	127817517	127817597	80	dbVar
chr8	127817522	127817592	70	dbVar
chr8	127936292	127938627	2335	dbVar
chr8	128914302	128915323	1021	dbVar
chr8	129735096	129812306	77210	dbVar
chr8	129813110	132706514	2893404	dbVar
chr8	130133355	133782483	3649128	dbVar
chr8	130387170	130528625	141455	dbVar
chr8	130930265	131401985	471720	dbVar
chr8	131131646	131132393	747	dbVar
chr8	132499164	132717555	218391	dbVar
chr8	133162907	133181770	18863	dbVar
chr8	134228468	134229017	549	dbVar
chr8	134420898	134998557	577659	dbVar
chr8	134470095	134834220	364125	dbVar
chr8	134794850	134796299	1449	dbVar
chr8	134795169	134806899	11730	dbVar
chr8	136991636	136991726	90	dbVar
chr8	137118711	137119320	609	dbVar
chr8	137118726	137119322	596	dbVar
chr8	137335950	137337667	1717	dbVar
chr8	137832923	138028041	195118	dbVar
chr8	138099390	139535594	1436204	dbVar
chr8	139498146	139600717	102571	dbVar
chr8	139538951	139539136	185	dbVar
chr8	139845505	139857630	12125	dbVar
chr8	139846365	139857683	11318	dbVar
chr8	141082427	143124732	2042305	dbVar
chr8	142832638	142838355	5717	dbVar
chr8	142940533	142940889	356	dbVar
chr9	201175	67920552	67719377	dbVar
chr9	853080	853270	190	dbVar
chr9	2450345	2450485	140	dbVar
chr9	4518830	4523839	5009	dbVar
chr9	5062574	5074958	12384	dbVar
chr9	5297597	5298449	852	dbVar
chr9	5424234	5424316	82	dbVar
chr9	5784712	5784770	58	dbVar
chr9	6379236	6390589	11353	dbVar
chr9	6728606	6733329	4723	dbVar
chr9	8325071	8336646	11575	dbVar
chr9	10859416	10881981	22565	dbVar
chr9	10883300	10899668	16368	dbVar
chr9	12000695	12018146	17451	dbVar
chr9	12062686	12075551	12865	dbVar
chr9	12962824	12962900	76	dbVar
chr9	15024886	15031178	6292	dbVar
chr9	15128100	15128595	495	dbVar
chr9	16908343	16913267	4924	dbVar
chr9	16943996	16948251	4255	dbVar
chr9	21366366	21366470	104	dbVar
chr9	25576973	25577841	868	dbVar
chr9	30220393	30264773	44380	dbVar
chr9	30951811	30956681	4870	dbVar
chr9	31049006	31050193	1187	dbVar
chr9	31666118	31666198	80	dbVar
chr9	32777222	32777411	189	dbVar
chr9	32800508	32801961	1453	dbVar
chr9	33504894	97250504	63745610	dbVar
chr9	33572470	38572088	4999618	dbVar
chr9	34596900	34599731	2831	dbVar
chr9	35912870	35922565	9695	dbVar
chr9	38669079	38670016	937	dbVar
chr9	39102501	40199576	1097075	dbVar
chr9	39941704	41768585	1826881	dbVar
chr9	40636793	43275613	2638820	dbVar
chr9	40929927	41103613	173686	dbVar
chr9	41747162	66359972	24612810	dbVar
chr9	42591225	42662094	70869	dbVar
chr9	42596852	42658446	61594	dbVar
chr9	42596891	42659448	62557	dbVar
chr9	42604355	42649383	45028	dbVar
chr9	42638806	42688034	49228	dbVar
chr9	42639365	42693519	54154	dbVar
chr9	42735113	42735203	90	dbVar
chr9	60738434	66710537	5972103	dbVar
chr9	61533394	61993509	460115	dbVar
chr9	61721659	61877391	155732	dbVar
chr9	61797298	64329287	2531989	dbVar
chr9	62038846	65400093	3361247	dbVar
chr9	62144245	67084322	4940077	dbVar
chr9	62257859	62295498	37639	dbVar
chr9	62263990	62289318	25328	dbVar
chr9	62805656	62816529	10873	dbVar
chr9	62805932	62817049	11117	dbVar
chr9	62806328	62818563	12235	dbVar
chr9	62816148	62860878	44730	dbVar
chr9	63489951	68229588	4739637	dbVar
chr9	63724056	63724117	61	dbVar
chr9	63724063	63724132	69	dbVar
chr9	64132133	68328721	4196588	dbVar
chr9	64809441	64809504	63	dbVar
chr9	70398214	70398724	510	dbVar
chr9	72651025	72651079	54	dbVar
chr9	74108974	74109028	54	dbVar
chr9	74108982	74109264	282	dbVar
chr9	74141566	76937075	2795509	dbVar
chr9	74283120	74283521	401	dbVar
chr9	74283223	74283477	254	dbVar
chr9	74283224	74283473	249	dbVar
chr9	74283235	74283476	241	dbVar
chr9	75707584	75707679	95	dbVar
chr9	77164652	77165551	899	dbVar
chr9	77164673	77165597	924	dbVar
chr9	78755760	78756212	452	dbVar
chr9	78996971	78997165	194	dbVar
chr9	80529338	80534095	4757	dbVar
chr9	80867180	80867244	64	dbVar
chr9	80993838	80994000	162	dbVar
chr9	80993843	80994031	188	dbVar
chr9	81662017	81662894	877	dbVar
chr9	83104613	83105955	1342	dbVar
chr9	83897001	85836347	1939346	dbVar
chr9	83906764	85824719	1917955	dbVar
chr9	84521199	84521830	631	dbVar
chr9	85229005	90988364	5759359	dbVar
chr9	86127919	86130233	2314	dbVar
chr9	86353829	87427388	1073559	dbVar
chr9	86539642	86541015	1373	dbVar
chr9	86540928	86541016	88	dbVar
chr9	86540940	86541007	67	dbVar
chr9	86540942	86541254	312	dbVar
chr9	86802907	86803003	96	dbVar
chr9	87868106	88113708	245602	dbVar
chr9	87910643	88118372	207729	dbVar
chr9	88118372	88250334	131962	dbVar
chr9	88141119	88141242	123	dbVar
chr9	89121554	89123462	1908	dbVar
chr9	89749332	89749396	64	dbVar
chr9	90222653	90760257	537604	dbVar
chr9	90960393	93164516	2204123	dbVar
chr9	91069627	91079824	10197	dbVar
chr9	91958957	91959665	708	dbVar
chr9	93593963	131971913	38377950	dbVar
chr9	94386257	97001907	2615650	dbVar
chr9	94769165	127559452	32790287	dbVar
chr9	97123445	97125441	1996	dbVar
chr9	101959270	101959555	285	dbVar
chr9	102012945	102091954	79009	dbVar
chr9	102114209	102114265	56	dbVar
chr9	102564718	102570277	5559	dbVar
chr9	102565836	102570254	4418	dbVar
chr9	102565838	102570267	4429	dbVar
chr9	102791277	102793774	2497	dbVar
chr9	103619659	103619728	69	dbVar
chr9	105054356	105054715	359	dbVar
chr9	105054531	105055067	536	dbVar
chr9	105054720	105055055	335	dbVar
chr9	105799527	105799611	84	dbVar
chr9	105801438	105801521	83	dbVar
chr9	107215810	107216694	884	dbVar
chr9	110390105	110390193	88	dbVar
chr9	111086913	111087262	349	dbVar
chr9	111086915	111087255	340	dbVar
chr9	113085632	113112140	26508	dbVar
chr9	113105263	113119310	14047	dbVar
chr9	113657502	113658378	876	dbVar
chr9	113917008	113917307	299	dbVar
chr9	114900117	120805395	5905278	dbVar
chr9	118084429	118084484	55	dbVar
chr9	118164290	118164744	454	dbVar
chr9	118164344	118164744	400	dbVar
chr9	118499582	118506593	7011	dbVar
chr9	118648873	118649162	289	dbVar
chr9	120804390	135398889	14594499	dbVar
chr9	121889036	121889256	220	dbVar
chr9	122616856	122618293	1437	dbVar
chr9	122723888	122725286	1398	dbVar
chr9	123466971	123467498	527	dbVar
chr9	123937737	123989616	51879	dbVar
chr9	123938573	123991662	53089	dbVar
chr9	123939138	123990437	51299	dbVar
chr9	123942311	123993465	51154	dbVar
chr9	123942952	123986101	43149	dbVar
chr9	123976373	123993772	17399	dbVar
chr9	123976385	123993771	17386	dbVar
chr9	123977744	123992370	14626	dbVar
chr9	123978320	124030780	52460	dbVar
chr9	123978917	124029482	50565	dbVar
chr9	123980171	124029552	49381	dbVar
chr9	123983590	124026245	42655	dbVar
chr9	126850491	126850547	56	dbVar
chr9	130000012	130000322	310	dbVar
chr9	131520147	131522724	2577	dbVar
chr9	132272871	132272962	91	dbVar
chr9	132648109	132687101	38992	dbVar
chr9	133220914	135537261	2316347	dbVar
chr9	133228333	133318051	89718	dbVar
chr9	134970198	134970294	96	dbVar
chr9	136330223	136333407	3184	dbVar
chr9	136785734	137511184	725450	dbVar
chr9	137551153	137551656	503	dbVar
chrX	449193	507689	58496	dbVar
chrX	771364	779004	7640	dbVar
chrX	1753466	1770175	16709	dbVar
chrX	3302865	3302925	60	dbVar
chrX	3637501	3663804	26303	dbVar
chrX	5811082	5812750	1668	dbVar
chrX	5811083	5812566	1483	dbVar
chrX	5811084	5812751	1667	dbVar
chrX	5811089	5812750	1661	dbVar
chrX	5811097	5812749	1652	dbVar
chrX	6219006	6220351	1345	dbVar
chrX	6241279	6241635	356	dbVar
chrX	8427543	8427627	84	dbVar
chrX	11291096	98445927	87154831	dbVar
chrX	11301655	11333770	32115	dbVar
chrX	12339262	12340508	1246	dbVar
chrX	17654158	17681433	27275	dbVar
chrX	18061752	56878689	38816937	dbVar
chrX	22123984	135959375	113835391	dbVar
chrX	28893393	28893590	197	dbVar
chrX	29251033	29252079	1046	dbVar
chrX	29251149	29252199	1050	dbVar
chrX	29251180	29252188	1008	dbVar
chrX	32178155	76025971	43847816	dbVar
chrX	37685205	37722708	37503	dbVar
chrX	45648559	45691534	42975	dbVar
chrX	45687789	45692879	5090	dbVar
chrX	45687838	45692637	4799	dbVar
chrX	45687855	45691604	3749	dbVar
chrX	45687917	45691241	3324	dbVar
chrX	45688129	45693337	5208	dbVar
chrX	45688995	45692638	3643	dbVar
chrX	45689001	45692537	3536	dbVar
chrX	45689104	45691370	2266	dbVar
chrX	45689248	45691227	1979	dbVar
chrX	45689249	45691176	1927	dbVar
chrX	45691228	45693083	1855	dbVar
chrX	46909589	46971130	61541	dbVar
chrX	46911506	46951258	39752	dbVar
chrX	46913841	46951258	37417	dbVar
chrX	46918391	46951258	32867	dbVar
chrX	46919574	46951258	31684	dbVar
